映画館クラス名,プログラムID,映画ID,開始日時,終了日時
Jinbocho_Theater,ht,1,2023-04-15 11:00,2023-04-15 12:20
Jinbocho_Theater,ht,2,2023-04-15 13:15,2023-04-15 14:52
Jinbocho_Theater,ht,3,2023-04-15 15:30,2023-04-15 17:05
Jinbocho_Theater,ht,4,2023-04-15 17:45,2023-04-15 19:12
Jinbocho_Theater,ht,4,2023-04-16 11:00,2023-04-16 12:27
Jinbocho_Theater,ht,3,2023-04-16 13:15,2023-04-16 14:50
Jinbocho_Theater,ht,2,2023-04-16 15:30,2023-04-16 17:07
Jinbocho_Theater,ht,1,2023-04-16 17:45,2023-04-16 19:05
Jinbocho_Theater,ht,2,2023-04-17 12:00,2023-04-17 13:37
Jinbocho_Theater,ht,1,2023-04-17 14:15,2023-04-17 15:35
Jinbocho_Theater,ht,4,2023-04-17 16:30,2023-04-17 17:57
Jinbocho_Theater,ht,3,2023-04-17 19:15,2023-04-17 20:50
Jinbocho_Theater,ht,1,2023-04-19 12:00,2023-04-19 13:20
Jinbocho_Theater,ht,2,2023-04-19 14:15,2023-04-19 15:52
Jinbocho_Theater,ht,3,2023-04-19 16:30,2023-04-19 18:05
Jinbocho_Theater,ht,4,2023-04-19 19:15,2023-04-19 20:42
Jinbocho_Theater,ht,4,2023-04-20 12:00,2023-04-20 13:27
Jinbocho_Theater,ht,3,2023-04-20 14:15,2023-04-20 15:50
Jinbocho_Theater,ht,2,2023-04-20 16:30,2023-04-20 18:07
Jinbocho_Theater,ht,1,2023-04-20 19:15,2023-04-20 20:35
Jinbocho_Theater,ht,3,2023-04-21 12:00,2023-04-21 13:35
Jinbocho_Theater,ht,4,2023-04-21 14:15,2023-04-21 15:42
Jinbocho_Theater,ht,1,2023-04-21 16:30,2023-04-21 17:50
Jinbocho_Theater,ht,2,2023-04-21 19:15,2023-04-21 20:52
Cinemavera_Shibuya,now,18,2023-04-22 11:00,2023-04-22 12:36
Jinbocho_Theater,ht,7,2023-04-22 11:00,2023-04-22 12:08
Cinemavera_Shibuya,now,52,2023-04-22 12:55,2023-04-22 14:22
Jinbocho_Theater,ht,6,2023-04-22 13:15,2023-04-22 14:40
Cinemavera_Shibuya,now,9,2023-04-22 14:40,2023-04-22 16:03
Jinbocho_Theater,ht,5,2023-04-22 15:30,2023-04-22 17:33
Jinbocho_Theater,ht,8,2023-04-22 18:00,2023-04-22 19:27
Cinemavera_Shibuya,now,20,2023-04-22 18:35,2023-04-22 20:08
Cinemavera_Shibuya,now,12,2023-04-22 20:25,2023-04-22 21:18
Cinemavera_Shibuya,now,4,2023-04-23 11:00,2023-04-23 12:39
Jinbocho_Theater,ht,8,2023-04-23 11:00,2023-04-23 12:27
Cinemavera_Shibuya,now,53,2023-04-23 13:00,2023-04-23 14:12
Jinbocho_Theater,ht,5,2023-04-23 13:15,2023-04-23 15:18
Cinemavera_Shibuya,now,2,2023-04-23 14:35,2023-04-23 15:49
Jinbocho_Theater,ht,7,2023-04-23 15:45,2023-04-23 16:53
Cinemavera_Shibuya,now,11,2023-04-23 16:10,2023-04-23 17:22
Cinemavera_Shibuya,now,19,2023-04-23 17:40,2023-04-23 19:01
Jinbocho_Theater,ht,6,2023-04-23 17:45,2023-04-23 19:10
Cinemavera_Shibuya,now,6,2023-04-24 11:00,2023-04-24 12:37
Jinbocho_Theater,ht,6,2023-04-24 12:00,2023-04-24 13:25
Cinemavera_Shibuya,now,16,2023-04-24 12:55,2023-04-24 14:19
Jinbocho_Theater,ht,7,2023-04-24 14:15,2023-04-24 15:23
Cinemavera_Shibuya,now,26,2023-04-24 14:40,2023-04-24 16:05
Cinemavera_Shibuya,now,15,2023-04-24 16:25,2023-04-24 17:36
Jinbocho_Theater,ht,8,2023-04-24 16:30,2023-04-24 17:57
Cinemavera_Shibuya,now,43,2023-04-24 17:55,2023-04-24 19:31
Jinbocho_Theater,ht,5,2023-04-24 19:15,2023-04-24 21:18
Cinemavera_Shibuya,now,23,2023-04-24 19:50,2023-04-24 21:34
Cinemavera_Shibuya,now,13,2023-04-25 11:00,2023-04-25 13:30
